model,intervention,clean_accuracy,transformed_accuracy,accuracy_change,prediction_consistency
resnet50,grayscale,0.972,0.964,-0.008000000000000007,0.9739999771118164
vit_b16,grayscale,0.988,0.966,-0.02200000000000002,0.9660000205039978
clip,grayscale,0.964,0.948,-0.016000000000000014,0.9440000057220459
clip_zero_shot,grayscale,0.95,0.93,-0.019999999999999907,0.9459999799728394
resnet50,hue_rotation_60,0.972,0.946,-0.026000000000000023,0.9599999785423279
vit_b16,hue_rotation_60,0.988,0.966,-0.02200000000000002,0.9700000286102295
clip,hue_rotation_60,0.964,0.96,-0.0040000000000000036,0.9599999785423279
clip_zero_shot,hue_rotation_60,0.95,0.92,-0.029999999999999916,0.9480000138282776
